Date,EM,EUROPE,FM,JAPAN,SINGAPORE,USA,CHINA,AGG,HYG,EMB
"Jan 31, 2011","3,780.92","1,512.87",599.883,"2,498.83","4,201.40","1,228.57",65.966,81.466309,52.276836,66.21328
"Feb 28, 2011","3,749.16","1,559.61",558.921,"2,611.91","3,988.39","1,267.03",64.774,81.308517,52.307362,67.242981
"Mar 31, 2011","3,965.75","1,542.53",560.606,"2,348.94","4,181.01","1,266.63",68.218,82.559906,53.146255,68.392433
"Apr 29, 2011","4,091.26","1,657.04",575.762,"2,357.33","4,384.94","1,303.97",69.072,83.584259,53.21854,69.389603
"May 31, 2011","3,945.57","1,588.34",550.553,"2,318.31","4,269.12","1,287.01",68.89,83.216759,52.917309,69.818535
"Jun 30, 2011","3,894.75","1,554.63",544.768,"2,351.17","4,201.56","1,263.13",65.78,84.625618,53.091858,71.201828
"Jul 29, 2011","3,866.79","1,500.68",530.53,"2,433.56","4,396.02","1,237.13",65.222,85.918907,51.66016,71.591438
"Aug 31, 2011","3,512.66","1,346.72",502.747,"2,235.12","3,930.20","1,165.71",59.121,86.637848,48.904499,68.152824
"Sep 30, 2011","3,011.91","1,197.08",477.637,"2,179.26","3,383.32","1,080.16",48.895,86.758736,53.052006,71.646523
"Oct 31, 2011","3,393.28","1,341.11",487.871,"2,173.71","3,736.92","1,197.17",56.293,86.418098,51.795906,70.735283
"Nov 30, 2011","3,175.74","1,275.98",472.571,"2,076.28","3,431.18","1,190.52",51.557,87.333252,53.805546,71.813332
"Dec 30, 2011","3,110.21","1,255.54",467.08,"2,091.15","3,328.83","1,199.65",52.829,88.456848,55.272617,73.203957
"Jan 31, 2012","3,462.62","1,312.83",469.33,"2,185.62","3,807.65","1,254.70",58.549,88.22583,56.119297,74.720802
"Feb 29, 2012","3,661.94","1,392.16",479.98,"2,295.00","3,987.05","1,306.74",62.361,87.718201,55.570892,74.622154
"Mar 30, 2012","3,559.81","1,379.74",485.588,"2,303.53","3,963.34","1,346.48",58.066,88.538528,56.192474,75.958656
"Apr 30, 2012","3,469.79","1,339.22",476.576,"2,229.85","3,966.35","1,336.75",60.125,89.505028,54.405922,73.864555
"May 31, 2012","3,062.58","1,164.81",448.72,"2,030.10","3,531.38","1,251.29",53.293,89.482506,56.905464,76.853981
"Jun 29, 2012","3,187.60","1,253.98",445.232,"2,132.25","3,750.27","1,298.66",53.571,90.713135,57.51622,79.737465
"Jul 31, 2012","3,241.23","1,266.90",449.25,"2,081.25","4,036.71","1,314.63",54.268,90.71769,58.241863,80.731407
"Aug 31, 2012","3,242.25","1,318.96",457.812,"2,065.34","3,980.82","1,341.92",52.536,90.960022,58.545315,82.189232
"Sep 28, 2012","3,430.37","1,355.94",476.317,"2,093.05","4,097.44","1,373.93",55.7,90.926903,59.054195,82.721909
"Oct 31, 2012","3,359.07","1,374.18",472.675,"2,054.04","4,033.11","1,347.36",58.871,91.143326,59.661079,83.739532
"Nov 30, 2012","3,393.30","1,407.27",480.133,"2,102.69","4,098.40","1,352.17",59.968,90.389053,59.853451,83.800972
"Dec 31, 2012","3,555.45","1,445.76",489.914,"2,211.55","4,207.39","1,361.88",62.851,90.55117,60.704529,81.933868
"Jan 31, 2013","3,579.55","1,528.58",525.911,"2,292.67","4,264.91","1,432.15",65.44,90.912094,60.944244,81.851494
"Feb 28, 2013","3,552.86","1,483.21",524.082,"2,353.06","4,265.43","1,447.09",62.867,91.003998,61.472668,81.088745
"Mar 29, 2013","3,508.32","1,475.46",523.503,"2,448.86","4,324.39","1,499.23",59.996,91.842896,62.787849,83.98925
"Apr 30, 2013","3,518.37","1,529.22",536.147,"2,662.86","4,443.26","1,527.16",60.675,90.053467,61.184956,79.86129
"May 31, 2013","3,402.23","1,522.27",560.108,"2,510.70","4,190.90","1,555.46",59.872,88.645866,60.135311,76.301155
"Jun 28, 2013","3,187.22","1,445.83",527.568,"2,552.34","3,993.89","1,532.12",54.561,88.879143,61.843678,76.385269
"Jul 31, 2013","3,189.14","1,551.48",554.398,"2,567.64","4,132.79","1,610.62",56.717,88.139015,61.082138,74.517426
"Aug 30, 2013","3,096.80","1,527.71",541.511,"2,511.69","3,864.29","1,562.55",58.074,89.130836,61.535709,76.852005
"Sep 30, 2013","3,301.22","1,636.10",559.01,"2,704.78","4,122.33","1,611.75",60.82,89.88044,63.11039,78.829651
"Oct 31, 2013","3,476.37","1,705.04",572.525,"2,704.24","4,266.95","1,681.19",62.322,89.656982,63.411758,77.239075
